Agapostemon splendens
Amblyopone pallipes
Ammophila pictipennis
Andrena dunningi
Anthidiellum notatum rufimaculatum
Aphaenogaster
Aphaenogaster fulva
Aphaenogaster treatae
Aphelinus abdominalis
Aphelinus atriplicis
Aphelinus certus
Aphelinus coreae
Aphelinus daucicola
Aphelinus glycinis
Aphelinus hordei
Aphelinus kurdjumovi
Aphelinus rhamni
Aphelinus varipes
Aphidius colemani
Aphidius ervi
Apis cerana
Apis mellifera
Apterostigma dentigerum
Atta cephalotes
Atta columbica
Atta texana
Augochloropsis metallica
Bombus bimaculatus
Bombus impatiens
Bombus occidentalis
Bombus terrestris
Camponotus castaneus
Camponotus crassus
Camponotus floridanus
Camponotus pennsylvanicus
Camponotus renggeri
Camponotus rufipes
Campsomeris plumipes fossulana
Catolaccus grandis
Celetrigona longicornis
Cephalotrigona sp.
Cephus cinctus
Cerapachys edentata
Ceratina calcarata
Ceratina dupla dupla
Chalybion californicum
Copidosoma floridanum
Cotesia flavipes
Crematogaster hespera
Dacnusa sibirica
Dasymutilla archboldi
Dasymutilla occidentalis
Dasymutilla pyrrhus
Diglyphus isaea
Dinoponera australis
Dolichoderus mariae
Dolichoderus taschenbergi
Dolichovespula arenaria
Dormyrmex bicolor
Dorymyrmex bureni
Eciton burchelli
Ectatomma tuberculatum
Ectemnius continuus
Encarsia formosa
Encarsia sophia
Eretmocerus eremicus
Eretmocerus mundus
Eumenes fraternus
Eumenes smithii
Euodynerus cf. hidalgo
Eurhopalothrix procera
Forelius pruinosus
Formica pallidifulva
Friesella schrottkyi
Frieseomelitta sp.
Frieseomelitta varia
Ganaspis xanthopoda
Gorytes atricornis
Habrobracon juglandis
Habrobracon serinopae
Halictus ligatus
Halictus poeyi
Hylaeus affinis
Labidus coecus
Larra bicolor
Lasius alienus
Lasius latipes
Lasius minutus
Leioproctus imitatus
Leptomastix dactylopii
Leptopilina boulardi
Leptopilina heterotoma
Leptopilina victoriae
Lestrimellita sp.
Leurotrigona muelleri
Linepithema humile
Liometopum occidentale
Macrocentrus cingulum
Macrocentrus grandii
Megachile albitarsis
Megachile rotundata
Melipoma asilvai
Melipoma bicolor
Melipoma capixaba
Melipoma compressipes
Melipoma crinita
Melipoma eburnea
Melipoma fuscopilosa
Melipoma grandis
Melipoma mandacaia
Melipoma marginata
Melipoma mondury
Melipoma quadrifasciata
Melipoma quinquefasciata
Melipoma rufiventris
Melipoma scutellaris
Melipoma seminigra
Melipoma subnitida
Melipona asilvaib
Melipona bicolor
Melipona fasciculata
Melipona flavolineata
Melipona mandacaia
Melipona mondury
Melipona quadrifasciata
Melipona quinquefasciata
Melipona rufiventris
Melissodes desponsa
Melissodes illata
Messor andrei
Microbembex monodonta
Miscophus slossonae
Monomorium viride
Mycetophylax conformis
Mycetophylax morschi
Mycetophylax simplex
Myrmecia varians
Myrmecina americana
Nanotrigona sp.
Nanotrigona testaceicornis
Nasonia vitripennis
Neotheronia bicincta
Odontomachus bauri
Odontomachus brunneus
Odontomachus cephalotes
Odontomachus chelifer
Odontomachus clarus
Odontomachus haematodus
Paratrechina longicornis
Paratrigona subnuda
Partamona chapadicola
Partamona helleri
Partamona rustica
Peristenus digoneutis
Peristenus stygicus
Pheidole dentata
Pheidole floridana
Pheidole hyatti
Plebeia droryana
Plebeia lucii
Plebeia sp.
Pogonomyrmex badius
Pogonomyrmex californicus
Pogonomyrmex coarctatus
Polistes carolina
Polistes dominula
Polistes dorsalis
Polistes exclamans
Polistes fuscatus
Polistes metricus
Ponera pennsylvanica
Praon sp.
Prenolepis imparis
Pseudomyrmex ejectus
Pseudomyrmex gracilis
Pyramica rostrata
Scaptotrigona bipunctata
Scaptotrigona depilis
Scaptotrigona tubiba
Scaptotrigona xantotricha
Scaura latitarsis
Sceliphron caementarium
Schwarziana sp.
Sericomyrmex amabilis
Solenopsis invicta
Solenopsis molesta
Solenopsis xyloni
Sphaeropthalma pensylvanica
Stictiella serrata
Symmorphus canadensis
Tapinoma sessile
Temnothorax ambiguus
Temnothorax texanus
Tetragonisca angustula
Tetramorium caespitum
Trachymyrmex septentrionalis
Trichogramma brassicae
Trichogramma platneri
Trichogramma pretiosum
Trigona fulviventris
Trigona pallens
Trigona spinipes
Trypoxylon politum
Vespula germanica
Vespula maculifrons
Vespula squamosa
Vespula vulgaris
Xylocopa virginica krombeini
Zethus slossonae
