File,Org,Reads,Duplicates,Mapped,PercentDup,PercentMapped,Reads,
Kiwifruit_HiC_0.25M_flagstat.txt,Kiwi,546827,571,544015,0.10%,99.50%,546827,
Kiwifruit_HiC_0.5M_flagstat.txt,Kiwi,1090829,2172,1085278,0.20%,99.50%,1090829,
Kiwifruit_HiC_1M_flagstat.txt,Kiwi,2184381,8451,2173354,0.40%,99.50%,2184381,
Kiwifruit_HiC_1.5M_flagstat.txt,Kiwi,3275469,18878,3258933,0.60%,99.50%,3275469,
Kiwifruit_HiC_2.5M_flagstat.txt,Kiwi,5455269,51996,5427637,1.00%,99.50%,5455269,
Kiwifruit_HiC_5M_flagstat.txt,Kiwi,10915819,208264,10860680,1.90%,99.50%,10915819,
Kiwifruit_HiC_25M_flagstat.txt,Kiwi,54539024,4878862,54263730,8.90%,99.50%,54539024,
Kiwifruit_HiC_50M_flagstat.txt,Kiwi,109092511,18078556,108540676,16.60%,99.50%,109092511,
Kiwifruit_HiC_125M_flagstat.txt,Kiwi,272727370,91907295,271346901,33.70%,99.50%,272727370,
Kiwifruit_HiC_250M_flagstat.txt,Kiwi,545465611,276970378,542709153,50.80%,99.50%,545465611,
Kiwifruit_HiC_400M_flagstat.txt,Kiwi,872751622,542523189,868337979,62.20%,99.50%,872751622,
Wakefield_HiC_0.25M_flagstat.txt,Rasp,648936,24501,560486,3.80%,86.40%,648936,
Wakefield_HiC_0.5M_flagstat.txt,Rasp,1294986,90155,1119067,7.00%,86.40%,1294986,
Wakefield_HiC_1M_flagstat.txt,Rasp,2587896,314675,2235389,12.20%,86.40%,2587896,
Wakefield_HiC_1.5M_flagstat.txt,Rasp,3880013,641291,3352633,16.50%,86.40%,3880013,
Wakefield_HiC_2.5M_flagstat.txt,Rasp,6476575,1517634,5596636,23.40%,86.40%,6476575,
Wakefield_HiC_5M_flagstat.txt,Rasp,12946682,4524165,11185529,34.90%,86.40%,12946682,
Wakefield_HiC_25M_flagstat.txt,Rasp,64760120,39514772,55957123,61.00%,86.40%,64760120,
Wakefield_HiC_50M_flagstat.txt,Rasp,129510259,89351483,111903724,69.00%,86.40%,129510259,
Wakefield_HiC_125M_flagstat.txt,Rasp,323815356,247895068,279786233,76.60%,86.40%,323815356,
Wakefield_HiC_250M_flagstat.txt,Rasp,647552204,521434708,559502837,80.50%,86.40%,647552204,
Nui_Miseq,Blueberry_MiSeq,6000000,1545600,5963400,25.80%,99.40%,6000000,
Nui_Novaseq,Blueberry,163000000,108101600,162000000,66.30%,99.40%,163000000,Nui_Novaseq
Wakefield_Miseq,Rasp_Miseq,978700,53339.15,815500,5.50%,83.30%,978700,
Wakefield_HiC_400M_flagstat.txt,Rasp,1036097581,855419802,895211948,82.60%,86.40%,1036097581,Wakefield_HiC_400M_flagstat.txt
Kiwifruit_MiSeq,Kiwi_MiSeq,2402352,12011.76,2402352,0.005,,,
Kiwifruit_HiC_all_flagstat.txt,Kiwi,1944174986,1543308606,1944174986,79.40%,100.00%,1944174986,Kiwifruit_HiC_all_flagstat.txt
